"RMH Portland Volunteer Contact Info","Report date: January 21, 2018"

Name,Address,City,State,Zip,"Phone 1","Phone 2",Email,"Start Date",Notes
"Jones, Aaron","259 High St.",Ashburn,VA,20147,7037670380,,jonesey@yahoo.com,,
"Jones, Admin","1 Gum Tree Rd",Ashburn,VA,20147,7037806282,7037806282,admin@yahoo.com,17-07-26,
"Jones, Adrien","692 Cathance Rd.",Ashburn,VA,20147,7036152675,,jonesey@yahoo.com,14-11-14,"Volunteers with wife/partner Gisele Couturier"
"Jones, alisa","100 middle st",Ashburn,VA,20147,7037710814,,jonesey@yahoo.com,16-06-02,
"Jones, Allen","42 Walini Wy",Ashburn,VA,20147,7037298111,,jonesey@yahoo.com,,
"Jones, Allyson","43 Berwick St.",Ashburn,VA,20147,7034410528,,jonesey@yahoo.com,,
"Jones, Amanda","5 Morrill Ave.",Ashburn,VA,20147,7033185257,,jonesey@yahoo.com,14-12-31,
"Jones, Amber","37 Carroll  St",Ashburn,VA,20147,7037737446,,jonesey@yahoo.com,,
"Jones, Amy","13 Veranda Drive",Ashburn,VA,20147,7038394383,,jonesey@yahoo.com,09-01-01,
"Jones, Amy","131 Upper Minot Rd",Ashburn,VA,20147,7036884716,,jonesey@yahoo.com,,"I am looking to volunteer on weekends. I love making quilts and would love to make some for the house.
I also would be interested in making a meal."
"Jones, Amy","13 Lambert Rd.",Ashburn,VA,20147,7037519944,,jonesey@yahoo.com,,"Ann Nye's daughter"
"Jones, Andrea","1 Thornhurst Road",Ashburn,VA,20147,7037129570,,jonesey@yahoo.com,,"returning fall 2013"
"Jones, Andrew","27 Glenwood Ave",Ashburn,VA,20147,7032899841,,jonesey@yahoo.com,16-07-25,
"Jones, Andy and Lisa","7 Airport Road",Ashburn,VA,20147,7036128001,,jonesey@yahoo.com,,"Andy's email: buildinmaine@yahoo.com"
"Jones, Angela","7 Landmark Road",Ashburn,VA,20147,7038850565,,jonesey@yahoo.com,,
"Jones, Ann","421 Jacob Ave",Ashburn,VA,20147,7038317519,,jonesey@yahoo.com,,
"Jones, Ann","234 Bluff Road",Ashburn,VA,20147,7038470375,,jonesey@yahoo.com,,
"Jones, Anna","994 Portland Road, Apt. 10",Ashburn,VA,20147,7033308133,,jonesey@yahoo.com,,"on leave as of 3/7/13"
"Jones, Anna","4 Raven Terrace",Ashburn,VA,20147,7039391657,,jonesey@yahoo.com,,"College Student back in June 2014."
"Jones, Anne","992 High St",Ashburn,VA,20147,7034432321,,jonesey@yahoo.com,09-06-16,
"Jones, Annie","90 Shoreview Dr.",Ashburn,VA,20147,7038466661,,jonesey@yahoo.com,,"She volunteers with Sally Kennedy and Becky Joyce every other Friday from spring until late fall."
"Jones, Annie","11 Wildwood Dr",Ashburn,VA,20147,7032831610,,jonesey@yahoo.com,,
"Jones, April","30 Stagecoach Lane",Ashburn,VA,20147,7038995598,,jonesey@yahoo.com,15-03-03,
"Jones, April","189 Spring St",Ashburn,VA,20147,7038075431,,jonesey@yahoo.com,16-06-06,
"Jones, Arne","40 Wellington Rd.",Ashburn,VA,20147,7037723073,,jonesey@yahoo.com,16-07-07,"emailed on (07/12/16)"
"Jones, Arthur","67 Gary L. Maietta Parkway, #6",Ashburn,VA,20147,7034500012,,jonesey@yahoo.com,14-10-30,"Wife is Nannette Duncanson"
"Jones, ASG","2 Monument Square Suite 520",Ashburn,VA,20147,7037752332,,jonesey@yahoo.com,,"Business volunteering
Contact persons are: April St. Cyr (703-807-5431) and Peter Parent (703-232-2686)
We are interested in the parking work for the Sea Dogs, guest chef and cookie club.  We would also be willing to offer employees time during the day to help with special projects as they come up."
"Jones, Avanel","995 Washington St",Ashburn,VA,20147,7034420555,,jonesey@yahoo.com,,
"Jones, Aynne","118 Eastern Prom",Ashburn,VA,20147,7032328782,,jonesey@yahoo.com,,
"Jones, Barbara","214 Forest Street",Ashburn,VA,20147,7038318187,,jonesey@yahoo.com,,
"Jones, Becky","55 Shoreview Rd",Ashburn,VA,20147,7038463827,,jonesey@yahoo.com,,
"Jones, Becky","4 Tall Pines Road",Ashburn,VA,20147,7038850804,,jonesey@yahoo.com,,"wants to guest chef with her daughter Lilly; tentative date - May 18"
"Jones, Ben","17 William Henry Drive",Ashburn,VA,20147,7038392795,,jonesey@yahoo.com,,
"Jones, Beth","163 Lower Barley St.",Ashburn,VA,20147,7033399448,,jonesey@yahoo.com,,
"Jones, Betsy","7 Kingfisher Cove",Ashburn,VA,20147,7038464935,,jonesey@yahoo.com,,"On leave during summer"
"Jones, Betty Jane and Carl","10 Pine Ridge Road",Ashburn,VA,20147,7037815270,,jonesey@yahoo.com,,
"Jones, Beverly","16 Middle St.",Ashburn,VA,20147,7038542682,,jonesey@yahoo.com,,
"Jones, Bobbi","122 Moody Road",Ashburn,VA,20147,7033447417,,jonesey@yahoo.com,14-12-17,
"Jones, Bonnie","25 Nevens Street, Unit B",Ashburn,VA,20147,7038999201,,jonesey@yahoo.com,,
"Jones, Brian","41 State St, Apt. 412",Ashburn,VA,20147,7035537619,,jonesey@yahoo.com,15-01-30,
"Jones, Brooke","8 Ocean Greens Drive",Ashburn,VA,20147,7036026920,,jonesey@yahoo.com,14-12-17,"I would like to do this with my children ages 3, 8, 8, 10"
"Jones, Bryce","69 Euclid Ave.",Ashburn,VA,20147,7032334316,,jonesey@yahoo.com,14-11-21,
"Jones, Caitlin","757 Main Street, Unit 65",Ashburn,VA,20147,7037455445,,jonesey@yahoo.com,15-06-24,
"Jones, Carly","66 Wells Road",Ashburn,VA,20147,7039654835,,jonesey@yahoo.com,16-06-28,"called on 7/7/16 to set up a time to meet."
"Jones, Carolyn","34 Foreside Road",Ashburn,VA,20147,7037812771,,jonesey@yahoo.com,,
"Jones, Catherine","7 Marston St.",Ashburn,VA,20147,7034083158,,jonesey@yahoo.com,16-02-17,"last emailed on 3/23/16"
"Jones, Cathy","8 Crystal Lane",Ashburn,VA,20147,7038295422,,jonesey@yahoo.com,,
"Jones, Cathy","4 Robin Lane",Ashburn,VA,20147,7038784455,,jonesey@yahoo.com,,"Primary phone no longer works"
"Jones, Charlie","80 Grant Street, Apt.5",Ashburn,VA,20147,7032728637,,jonesey@yahoo.com,,
"Jones, Chelsea","142 Park Ave., Apt 10",Ashburn,VA,20147,7034501874,,jonesey@yahoo.com,,
"Jones, Cheryl","166 Delaware Court",Ashburn,VA,20147,7037760561,,jonesey@yahoo.com,,"Subs as needed - we call or she will call in.
9-12 on Saturdays"
"Jones, Cheryl","64 Old Orchard Road",Ashburn,VA,20147,7032821358,,jonesey@yahoo.com,,
"Jones, Cheryl","9 Ru-Bee Ridge Rd",Ashburn,VA,20147,7038384913,,jonesey@yahoo.com,,
"Jones, Cheryl","52 Carleton St, Apt. 2",Ashburn,VA,20147,7038089589,,jonesey@yahoo.com,15-05-19,
"Jones, Chloe","97 Pine St, Apt 1",Ashburn,VA,20147,7035924902,,jonesey@yahoo.com,,"leave as of 5/2013"
"Jones, Chris","59 Bartley Ave.",Ashburn,VA,20147,7038788512,,jonesey@yahoo.com,,
"Jones, Christine and Duane","455 East Jay Road",Ashburn,VA,20147,7038977040,,jonesey@yahoo.com,,
"Jones, Cindy","128 Woodlands Drive",Ashburn,VA,20147,7037813251,,jonesey@yahoo.com,,
"Jones, Cindy","252 Vaughan Street #5",Ashburn,VA,20147,7037122120,,jonesey@yahoo.com,,
"Jones, Cindy","51 Martin Heights",Ashburn,VA,20147,7037492317,,jonesey@yahoo.com,,"On leave as of 3/17/15, family medical issues"
"Jones, Cindy","21 Wawenock Drive",Ashburn,VA,20147,7035631089,,jonesey@yahoo.com,,
"Jones, Claire","85 Dole Drive",Ashburn,VA,20147,7037970515,,jonesey@yahoo.com,14-09-29,
"Jones, Claire","16 Old Oak Way",Ashburn,VA,20147,7033293465,,jonesey@yahoo.com,,
"Jones, Claudia","4 Settlers Rd",Ashburn,VA,20147,7033181908,,jonesey@yahoo.com,,
"Jones, Craig","91 Fall Mill Rd",Ashburn,VA,20147,7033633667,,jonesey@yahoo.com,,
"Jones, Daniel","17 Lucas Lane",Ashburn,VA,20147,7036668904,,jonesey@yahoo.com,,
"Jones, Daniel","59 West St",Ashburn,VA,20147,7032330196,,jonesey@yahoo.com,16-05-23,
"Jones, Daryn","64 Greenwood Ave.",Ashburn,VA,20147,7036242209,,jonesey@yahoo.com,,"Co-worker of Rob Horne"
"Jones, David","34 Cathedral Oaks Drive",Ashburn,VA,20147,7032824314,,jonesey@yahoo.com,,"did not complete application process 10/10/13"
"Jones, David","566 Pinkham Brook Rd",Ashburn,VA,20147,7034153386,,jonesey@yahoo.com,,
"Jones, David","11 Starboard Drive",Ashburn,VA,20147,7037494034,,jonesey@yahoo.com,,"4/22/14 still interested in night coverage and fundraising events."
"Jones, David","3 Penny Avenue",Ashburn,VA,20147,7032848177,,jonesey@yahoo.com,15-01-16,"Primary phone is home, secondary is cell, work is 703-676-4100 x.25"
"Jones, Deb","PO Box 567",Ashburn,VA,20147,7039932644,,jonesey@yahoo.com,,
"Jones, Debbie","44 Maeves Way",Ashburn,VA,20147,7035189784,,jonesey@yahoo.com,,
"Jones, Deborah","384 Emery Mills Rd",Ashburn,VA,20147,7036362555,,jonesey@yahoo.com,,
"Jones, Debra","11 Maplewood Circle",Ashburn,VA,20147,7037813821,,jonesey@yahoo.com,,
"Jones, Dee","95 Watkins Shores Road",Ashburn,VA,20147,7036553052,,jonesey@yahoo.com,,
"Jones, Diana","891 Washington Avenue",Ashburn,VA,20147,7032536901,,jonesey@yahoo.com,,"Gabrielle, I am filling out the application for Martins Point claims department.  We are hoping to do fall clean up on November 1, 2013."
"Jones, Elaine","19 Phoebe's Way",Ashburn,VA,20147,7037672928,,jonesey@yahoo.com,,"emailed shadow shift options 3/11/14"
"Jones, Elizabeth","8 Titcomb Field Rd",Ashburn,VA,20147,7037565794,,jonesey@yahoo.com,16-08-14,
"Jones, Ellen","69 Sanders Road",Ashburn,VA,20147,7034432810,,jonesey@yahoo.com,,"3/11/14 emailed shadow shift options and background/confidentiality forms to fill out"
"Jones, Ellen","187 Lester Drive",Ashburn,VA,20147,7036323133,,jonesey@yahoo.com,,"Will contact us in October to get back on schedule"
"Jones, Ellen","30 Evergreen Farm Rd.",Ashburn,VA,20147,7038855822,,jonesey@yahoo.com,,"On leave as of 7/2014. Hopes to return later this year."
"Jones, Ellen","24 Honeysuckle Lane",Ashburn,VA,20147,7038855447,,jonesey@yahoo.com,,"Picks up recycling and returnables; on leave due to injury as of 2/2/2015"
"Jones, Ellen","823 Shore Road",Ashburn,VA,20147,7037994830,,jonesey@yahoo.com,15-05-01,
"Jones, Ellen","12 Mayflower Rd",Ashburn,VA,20147,7037979667,,jonesey@yahoo.com,16-08-02,"emailed on 08/11/16"
"Jones, Eric","11 Pond View Drive",Ashburn,VA,20147,7037496109,,jonesey@yahoo.com,,
"Jones, Erin","47 Fengler Road",Ashburn,VA,20147,7033182299,,jonesey@yahoo.com,,6/28/13
"Jones, Eryn","7 Old Salt Road #20",Ashburn,VA,20147,7034236689,,jonesey@yahoo.com,,"Wants to do special projects (like gift wrapping)"
"Jones, Estelle","11 Bancroft",Ashburn,VA,20147,7037720647,,jonesey@yahoo.com,,
"Jones, Eva","12 Cushman st",Ashburn,VA,20147,7037499251,,jonesey@yahoo.com,16-08-06,"emailed on 08/11/16"
"Jones, Evan","566 Pinkham Brook Rd",Ashburn,VA,20147,7034153386,,jonesey@yahoo.com,,"with father, David McKittrick"
"Jones, Evelyn","9 Oceanwood Drive",Ashburn,VA,20147,7036505443,,jonesey@yahoo.com,,
"Jones, Fran","5 Surf Road",Ashburn,VA,20147,7037996057,,jonesey@yahoo.com,,"On leave until 10/14--called late fall and has other things going on, hopes to be back in the spring."
"Jones, Frank and Bette","170 Alpine Street",Ashburn,VA,20147,7037436859,,jonesey@yahoo.com,,
"Jones, Gaye","52 McLucas Rd",Ashburn,VA,20147,7032476985,,jonesey@yahoo.com,,
"Jones, Gayla","17 Arbor View Lane",Ashburn,VA,20147,7033185530,,jonesey@yahoo.com,,"Hello, 
My family and I would like to volunteer our cooking services at the house....do you need a separate application for each of us or will this one suffice? It would be me, my husband, our son Joshua (15), and daughter Karah (22). My husband is a great cook and Karah and I like to bake. We could put on a top your own pizza party or a pasta night etc... we work weekday so 6-9:portland or weekends....I didn't check off weekdays but this could be arranged with advnace notice too..."
"Jones, Gerry","2 Ashlar Court",Ashburn,VA,20147,7037721447,,jonesey@yahoo.com,,"Gerry had pneumonia, taking a break as of 7/14"
"Jones, Gibbs","35 Back Cove Estates",Ashburn,VA,20147,7037474590,,jonesey@yahoo.com,,
"Jones, Gil and Bonnie","88 Hillside Avenue",Ashburn,VA,20147,7037820198,,jonesey@yahoo.com,,
"Jones, Gisele","692 Cathance Rd.",Ashburn,VA,20147,7032333045,,jonesey@yahoo.com,14-11-14,"Volunteers with husband/partner Adrien Boudreau"
"Jones, Glenn and Deborah","384 Emery Mills Road",Ashburn,VA,20147,7036362555,,jonesey@yahoo.com,,
"Jones, Gloria","29 Munjoy Street",Ashburn,VA,20147,7032322778,,jonesey@yahoo.com,15-03-31,"Volunteers with daughter, Morgan"
"Jones, Grace","196 Sebago Lake Road",Ashburn,VA,20147,7034099841,,jonesey@yahoo.com,15-04-24,
"Jones, Gregory","1792 Pownal Rd.",Ashburn,VA,20147,7037130502,,jonesey@yahoo.com,15-04-08,
"Jones, Hannah","21 Chestnut Way",Ashburn,VA,20147,7034155621,,jonesey@yahoo.com,15-05-13,
"Jones, Helen","P.O.Box 4612",Ashburn,VA,20147,7032748829,,jonesey@yahoo.com,,
"Jones, Iola","131 Temple Ave. #11",Ashburn,VA,20147,7034006114,,jonesey@yahoo.com,,"On leave as of August 2015.  Health problems (knee)"
"Jones, Jana","110 Woodlands Avenue",Ashburn,VA,20147,7037817472,,jonesey@yahoo.com,,
"Jones, Jane","19 County Creek",Ashburn,VA,20147,7038293469,,jonesey@yahoo.com,,
"Jones, Jayme","8 Laidlaw Lane",Ashburn,VA,20147,7032298416,,jonesey@yahoo.com,16-07-05,"emailed on 7/7/16"
